text,clean_number
150.00,150.00
3150.00,3150.00
"-2,000.00",2000.00
"52,300.00",52300.00
"1,700.00",1700.00
d.00,0.00
100000,100000
.6|000.00,61000.00
"1,700.00",1700.00
6o.02,60.02
"60,00",60.00
15.00,15.00
3.93,3.93
65.00,65.00
65.00,65.00
10,10
"4,25",4.25
"7, 00",7.00
"0, 50",0.50
6. 50,6.50
598.00,598.00
!39.!(),139.100
"51,59",51.59
789.00,789.00
"278,00 (1)",278.00
198.00 (1),198.00
476.00,476.00
31.14,31.14
o.od,0.00
90.00,90.00
90.00,90.00
32 . 00,32.
"32 , 00",32.
135.00,135.00
110.00,110.00
245.00,245.00
16 03,1603
150,150
115,115
th265,265
105,105
th105,105
450.(!0,450.010
210.00,210.00
200.00,200.00
190.00,190.00
190.00,190.00
86.80,86.80
1327.00,1327.00
105.00,105.00
-11.00,11.00
94.00,94.00
6.15,6.15
598 . 00,598.
299. 00,299.00
198 . 00,198.
79 . 00,79.
29.00,29.00
203 .00,203.00
229,229
139,139
368,368
"2,396.00",2396.00
119.80,119.80
a.oo,0.00
o.oo,0.00
o.0o,0.00
 o.00,0.00
d.oo,0.00
o.oo,0.00
d.oo,0.00
o.00,0.00
o.oo,0.00
o.00,0.00
o.00,0.00
o.qo,0.00
o.00,0.00
o.00,0.00
o.00,0.00
o.0o,0.00
d.00,0.00
o.0d,0.00
-119.80,119.80
239.60,239.60
"2,515.80",2515.80
164.59,164.59
240.00,240.00
.00,.00
240.00,240.00
tax 7%,70
ร.:,.
150 . 00,150.
199. 00,199.00
195.00,195.00
250.00,250.00
"220,00",220.00
1i5.00,115.00
95.00,95.00
"20,00",20.00
-82.00,82.00
104.50,104.50
74.73,74.73
"1,142.23",1142.23
"155,00",155.00
o.qo,0.00
155.00,155.00
1o.14 vat ttl,10.14
"155,00",155.00
o.qo,0.00
155.00,155.00
1o.14 vat ttl,10.14
7.00,7.00
7.00,7.00
110.00,110.00
8110.00,8110.00
865.00,865.00
865.59,865.59
"135,00",135.00
110.00,110.00
120.00,120.00
90 00,9000
ีส & พาเมชานชีสสติก,0000111000
320.00,320.00
320.00,320.00
20.93,20.93
198,198
338,338
469,469
-54,54
951,951
"278,00",278.00
198.00 (1),198.00
476.00,476.00
"31, 14",31.14
"438,00",438.00
"78,00",78.00
36.12,36.12
ปัดเศษ,01
210.00,210.00
(42.00),042.000
168.00,168.00
"16 , 00",16.
"29, 00",29.00
49. 00,49.00
94 . 00,94.
495.00,495.00
119.00 (1,119.00
139.00 (1,139.00
753.00,753.00
49.26,49.26
105,105
th1o5,105
th7,7
348.60,348.60
59.00 '/,59.00
7o.0o v,70.00
570.00,570.00
37.29,37.29
93.00,93.00
120.00,120.00
"160,00",160.00
o.oo,0.00
280.00,280.00
7.85,7.85
"120,00",120.00
"160,00",160.00
o.0o,0.00
280.00,280.00
7.85,7.85
"1.70,({}",170.00
170.00,170.00
1.12 va1 uri,1.12
"20,00",20.00
20.00,20.00
"160,00",160.00
"160,00",160.00
"10,47",10.47
32 . 00,32.
32 . 00,32.
135.00,135.00
135.00,135.00
8.83,8.83
52.00,52.00
70.00,70.00
7o.00,70.00
80.00,80.00
80.00,80.00
19.00,19.00
300.00,300.00
671.00,671.00
"43,91",43.91
150.00,150.00
8150.00,8150.00
"32,00",32.00
32. 00,32.00
5.00,5.00
l0. 00,00
"42,00",42.00
29.00,29.00
ก. q0,0.00
81. 0{,81.0
30.00,30.00
95.00,95.00
105.00,105.00
o.oo,0.00
'230.00,230.00
278,278
- 14,14
189,189
]น1,01
150.0,150.0
3150.0,3150.0
"90 , 00",90.
"10, 00",10.00
"6, 54",6.54
"100, 00",100.00
1()5,1005
th1o5,105
 includes vat of',10100500001
"300,00",300.00
280.00,280.00
"18,32",18.32
0. ooii,0.
20. 00,20.00
"9, 00",9.00
o. oon,0.00
"29, 00",29.00
229,229
139,139
368,368
438.00,438.00
"78,00",78.00
"36, 12",36.12
552.00,552.00
20.00,20.00
20.00,20.00
"20,00",20.00
20.00,20.00
"!i, 00",00
1. 00),1.000
"29, /)0",29.
19.00,19.00
49. 00,49.00
19. 50][,19.5000
40. 00,40.00
29. 00,29.00
0. 00,0.00
0. 00,0.00
"137, 50",137.50
172.เ,172.1
aa,00
12 56,1256
99. 00,99.00
99. 00,99.00
6. 48,6.48
105.00,105.00
8o.00,80.00
85.00,85.00
125.00,125.00
8o.00,80.00
8475.00,8475.00
"6,050.00",6050.00
605.00),605.000
423.50,423.50
"7,079.00",7079.00
180,180
6o,60
20,20
30,30
50,50
"2,000",2.000
180,180
16o,160
16o,160
"2,840.00",2840.00
75.00,75.00
160.00,160.00
235.00,235.00
15.37,15.37
250,250
 loo,100
150,150
12760,12760
49500,49500
14190,14190
400,400
300,300
1400,1400
2700,2700
1oo,100
225,225
200,200
25,25
